<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SCI,20201027,69,69,68,68,2800
SD5,20201027,6,6.1,5.9,6,38705
SD6,20201027,2.9,2.9,2.8,2.9,58100
SD9,20201027,6.6,6.6,6.1,6.5,40310
SDA,20201027,4.7,4.7,4.7,4.7,230
SDG,20201027,25,25,25,25,134
SDT,20201027,4.2,4.2,3.9,3.9,92500
SEB,20201027,34.3,34.3,34.2,34.3,10100
SED,20201027,14.4,14.4,14,14,1500
SFN,20201027,16.1,19.5,16.1,19.5,200
SGH,20201027,40.5,40.5,40.5,40.5,100
SHB,20201027,15.9,16,15.7,15.7,2653094
SHE,20201027,19.6,19.6,18,18.9,9100
SHN,20201027,8.3,8.4,8.3,8.4,1900
SHS,20201027,13.2,13.3,12.7,12.8,3628588
SIC,20201027,12.9,13.3,12.9,13.3,3580
SJE,20201027,19.4,20,19.4,20,210
SLS,20201027,58.9,59,56.2,57.7,34648
SMN,20201027,9.4,9.5,9.4,9.5,4000
SMT,20201027,6,6.5,6,6.5,10220
SPI,20201027,1.3,1.4,1.2,1.3,157800
SRA,20201027,17,17,16.5,16.5,463460
STC,20201027,12.2,14,12.2,14,200
SVN,20201027,1.9,1.9,1.8,1.8,7600
SZB,20201027,30,30,30,30,2000
TA9,20201027,8.7,8.7,8.6,8.6,17900
TAR,20201027,21.2,21.3,21,21.1,381770
TC6,20201027,4.7,4.7,4.6,4.7,19450
TDN,20201027,7,7.1,7,7,61500
TDT,20201027,12,12.3,12,12.1,129154
THB,20201027,8.3,8.3,8.3,8.3,700
THD,20201027,84,84.5,83,83,7400
THT,20201027,7.2,7.5,7.1,7.5,4601
TIG,20201027,6.6,6.6,6.4,6.4,1215214
TJC,20201027,7.8,7.8,7.8,7.8,600
TKC,20201027,2.8,3,2.8,3,2100
TKU,20201027,15.6,15.6,15.6,15.6,100
TNG,20201027,12.2,12.2,11.7,11.7,1215979
TPH,20201027,9.2,9.2,9.2,9.2,100
TST,20201027,12.5,12.5,12.5,12.5,5500
TTC,20201027,12.9,12.9,12.5,12.5,200
TTH,20201027,1.6,1.7,1.6,1.7,35614
TTL,20201027,6.7,6.8,6.7,6.8,600
